,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
78,0.7843610417,21.55442734,26.9044519,-1.65450943,34.51347956,0
79,0.7944030417,17.91190201,25.79016907,-1.769769745,31.44997836,0
80,0.8044460417,15.74949875,25.00250702,-1.301992493,29.57815499,0
81,0.8144880417,14.41622131,24.18670349,-0.7890092468,28.16818415,0
82,0.8245300417,12.99941757,23.03425003,-0.5367837524,26.45467196,0
83,0.8345720417,10.99942657,21.60292648,-0.878972168,24.25791437,0
84,0.8446150417,8.362210693,20.04361908,-1.955383759,21.80588818,0
85,0.8546570417,5.206024017,18.16742065,-3.253035278,19.17655073,0
86,0.8646990417,2.566712494,16.28867752,-4.190984802,17.0139173,0
87,0.8747410417,0.7981402588,14.39765991,-4.227808228,15.02677614,0
88,0.8847830417,-0.4138893127,12.6819278,-3.416944427,13.14070417,0
89,0.8948260417,-1.355131989,11.30329468,-2.274520111,11.60923318,0
90,0.9048680417,-1.813029785,10.35366943,-1.135388947,10.57235337,0
91,0.9149100417,-1.893861694,9.735904083,-0.4273612976,9.927596795,0
92,0.9249520417,-1.772613831,9.289981384,-0.3954776001,9.465850012,0
93,0.9349940417,-1.515149231,8.950187988,-0.7140151978,9.105567523,0
94,0.9450370417,-1.351838837,8.367749176,-0.9680369568,8.531341633,0
95,0.9550790417,-1.128503265,7.38788681,-0.9476792908,7.533424665,0
96,0.9651210417,-1.024469604,6.425987091,-0.4031117249,6.519612498,0
97,0.9751630417,-0.5243595886,6.006559296,0.4001179504,6.042665134,0
98,0.9852060417,0.889151001,6.448440399,0.7987390137,6.558273942,0
99,0.9952480417,2.926863556,7.307953033,0.5718109131,7.89301435,0
100,1.005290042,4.995411987,7.952512665,-0.1721420288,9.392881958,0
101,1.015332042,6.994055786,8.650211792,-0.9994715881,11.16879241,0
102,1.025374042,8.51234848,9.939630432,-1.487007751,13.17070696,0
103,1.035417042,9.871222687,11.7091008,-1.61588974,15.39984346,0
104,1.045459042,11.23907822,13.43471237,-1.424886932,17.5738066,0
105,1.055501042,12.98998718,15.17933441,-1.415606232,20.02887668,0
106,1.065543042,15.04192017,16.35349274,-1.608704681,22.27743292,0
107,1.075586042,16.8118396,16.90913727,-1.820514221,23.9138275,0
108,1.085628042,17.71221725,16.56530228,-1.958527222,24.33038653,0
109,1.095670042,17.40221191,15.00419861,-2.010618896,23.06524536,0
110,1.105712042,15.84604797,13.10479843,-2.090253296,20.66886879,0
111,1.115754042,13.3600177,11.25329865,-2.491419067,17.64465846,0
112,1.125797042,11.08864105,9.223070526,-3.256927185,14.78616127,0
113,1.135839042,9.041498108,7.1398526,-3.652554474,12.08583209,0
114,1.145881042,6.834786987,5.231620789,-3.285368042,9.212915522,0
115,1.155923042,4.405788116,3.733236694,-2.025288391,6.119625659,0
116,1.165966042,2.608026581,2.802172852,0.05343887329,3.828424095,0
117,1.176008042,1.905537415,2.409689026,2.317031708,3.847896825,0
118,1.186050042,2.390977936,2.188449097,4.210594025,5.313679232,0
119,1.196092042,3.203937378,1.659598846,5.5672229,6.634263627,0
120,1.206134042,2.969225464,0.2531236267,6.204896851,6.883394246,0
121,1.216177042,2.57883728,-2.180365906,5.935157776,6.828652504,0
122,1.226219042,2.933599548,-4.608616333,4.766537933,7.250188597,0
123,1.236261042,3.393143921,-6.836433563,3.043920135,8.216793737,0
124,1.246303042,3.70913681,-8.478818207,1.224603424,9.335293654,0
125,1.256346042,4.087998962,-9.070238342,-0.452359314,9.959196155,0
126,1.266388042,4.237837372,-8.948242035,-1.935175781,10.08836986,0
127,1.276430042,4.020489349,-8.579858093,-3.246748352,10.01597096,0
128,1.286472042,3.968397675,-8.039930878,-4.312532043,9.949201036,0
