,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
74,0.7397500833,24.31378922,1.293460236,-4.224664764,24.71196426,0
75,0.7497220833,32.83631653,2.506687317,-4.245770874,33.20442342,0
76,0.7596950833,40.29740112,3.029250641,-6.121669922,40.87213891,0
77,0.7696680833,44.09620148,3.971541138,-9.244176636,45.22944755,0
78,0.7796400833,44.11880447,4.478536835,-11.69697601,45.86224426,0
79,0.7896130833,40.91007706,4.333488464,-12.54346573,43.00874399,0
80,0.7995850833,35.37623474,4.539011078,-11.80879349,37.57031022,0
81,0.8095580833,29.29288513,4.881947937,-10.42701691,31.47426276,0
82,0.8195310833,24.69145386,4.450694733,-9.797725525,26.93458748,0
83,0.8295030833,20.24465103,3.85777771,-9.341174927,22.62710528,0
84,0.8394762083,16.56844574,3.895948334,-8.001311188,18.80725361,0
85,0.8494492083,13.55057144,3.930676117,-6.371799774,15.4812155,0
86,0.8594212083,11.1530072,3.807182922,-4.847070465,12.74277456,0
87,0.8693942083,9.404193878,3.445984039,-3.589984589,10.63962677,0
88,0.8793662083,7.754324799,3.028352509,-2.496807861,8.69105986,0
89,0.8893392083,6.204298096,2.749931488,-1.581161957,6.96817847,0
90,0.8993122083,4.939877472,2.680026855,-0.9422904968,5.698494956,0
91,0.9092842083,3.911515961,2.573897552,-0.7394622803,4.740433544,0
92,0.9192572083,2.98494278,2.304607544,-0.9196875,3.881613637,0
93,0.9292292083,2.059866486,1.972298584,-1.273401947,3.123229764,0
94,0.9392022083,0.8002359009,1.854942627,-1.488804016,2.509527255,0
95,0.9491752083,-0.4766088867,2.154320068,-1.469494171,2.650974181,0
96,0.9591472083,-1.575623474,2.763253784,-1.386117554,3.469795769,0
97,0.9691202083,-2.364033966,3.317700806,-1.246907043,4.260348859,0
98,0.9790932083,-2.74499176,3.572770386,-1.201850739,4.663058352,0
99,0.9890652083,-3.014581146,3.64252533,-1.325942688,4.910581867,0
100,0.9990382083,-3.132236481,3.740870819,-1.338516541,5.059312837,0
101,1.009010208,-2.965932312,3.843407593,-1.366358643,5.043359232,0
102,1.018983208,-2.636467438,3.765868835,-1.326691132,4.784646068,0
103,1.028956208,-2.301015015,3.576063538,-1.223256226,4.424845344,0
104,1.038928208,-2.024390259,3.407963104,-0.9505233765,4.076256019,0
105,1.048901208,-1.717528381,3.313509521,-0.4852908325,3.763609475,0
106,1.058873208,-1.505569153,3.404370575,0.08846603394,3.723480056,0
107,1.068846208,-1.187480621,3.641926575,0.7149133301,3.896773084,0
108,1.078819208,-0.4647834778,3.848646698,1.289568329,4.085473236,0
109,1.088791208,0.4864883423,3.98411499,1.774859161,4.388618029,0
110,1.098764208,1.656455383,4.201912079,2.115251312,4.987403901,0
111,1.108736208,2.89827301,4.910688171,2.211201782,6.115902066,0
112,1.118709208,4.352648621,5.973178711,2.716101837,7.874110941,0
113,1.128682208,6.629414062,7.277566223,3.390599213,10.41192893,0
114,1.138654208,9.992171173,8.889564056,3.844305725,13.91569331,0
115,1.148627208,15.59606781,10.22224274,3.990252228,19.06970609,0
116,1.158600208,23.56070526,10.91694809,3.859124908,26.2522272,0
117,1.168572208,31.94327362,11.68455185,3.892505493,34.23526078,0
118,1.178545208,39.61990997,11.25359802,4.334536285,41.41459815,0
119,1.188517208,45.63350464,8.483757935,4.354145508,46.61919645,0
120,1.198490208,48.83429855,4.894970856,3.016826477,49.17164525,0
121,1.208463208,47.65564957,3.029849396,1.381327515,47.77184305,0
122,1.218435208,43.23429382,2.398911438,2.450404358,43.37007517,0
123,1.228408208,37.03852798,1.454525299,4.381688232,37.32515761,0
124,1.238381208,30.3775296,-0.4402345276,4.651277618,30.73471156,0
125,1.248353208,24.26918198,-3.006797333,3.940256195,24.77013611,0
126,1.258326208,19.10566956,-5.179678802,3.565136261,20.11382306,0
127,1.268298208,14.67488342,-6.098019104,3.7185672,16.32071636,0
128,1.278271208,10.74510544,-5.797294464,3.757935333,12.77450555,0
129,1.288244208,8.070916443,-5.465733948,3.779939575,10.45475409,0
130,1.298216208,6.380930786,-5.568719788,3.403322754,9.127405082,0
131,1.308189208,5.078788605,-5.848188629,2.53093689,8.148683665,0
132,1.318162208,4.021088104,-6.063740387,1.48131958,7.425119846,0
